년도,기업,정책,유형코드
2024,공기업,"경향신문 금융감독원 신용회복위원회 공동 주최

경향신문과 금융감독원 신용회복위원회가 공동 주최하고 금융위원회가 후원하는 제19회 경향금융교육대상 수상자가 선정됐습니다.",2
2024,공기업,아시아투데이 윤복진 기자  전북자치도는 지난 2일 전북자치도청에서 금융감독원이하 금감원 전북특별자치도교육청이하 교육청 전북특별자치도 시장군수협의회이하 협의회와 전북도민의 금융역량 강화를 위해 상호협력 업무협약을 체결했다.,2
2024,공기업,아시아투데이 임우섭 기자  우리금융그룹 자회사들은 금융사각지대에 놓인 서민 저신용자를 위해 우수대부업체에 총 1500억원을 추가 지원한다.,1
2024,공기업,"8일 고객자문위원회 개최 

경기신용보증재단경기신보는 8일 경기도 소상공인 중소기업 지원 및 현장 자문을 위한 2024년 제1회 고객자문위원회고객자문위원회를 개최했다.",1
2024,공기업,경기신용보증재단은 8일 경기도 소상공인 중소기업 지원 및 현장 자문을 위한 2024년 제1회 고객자문위원회를 경기신보 2층 회의실에서 개최했다.,1
2024,공기업,아시아투데이 김주홍 기자  경기신용보증재단이하 경기신보이 8일 경기신보 2층 회의실에서 경기도 소상공인 중소기업 지원 및 현장 자문을 위한 2024년 제1회 고객자문위원회이하 고객자문위원회를 개최했다.,1
2024,공기업,"은행권이 금융 취약계층 지원을 위해 서민금융진흥원에 2214억원의 출연을 약속했다
은행연합회와 9개 은행하나 신한 우리 기업 국민 SC제일 한국씨티 카카오 광주은 22일 서울 중구 은행회관에서 서민금융진흥원과 협약식을 갖고 은행권 출연 협약을 체결했다.",1
2024,공기업,서민금융진흥원이 미소금융을 이용 중인 영세 신용카드 가맹점주를 대상으로 이자를 지원해주는 사업을 추가로 실시한다.,1
2024,공기업,아시아투데이 김주홍 기자  경기신용보증재단이하 경기신보가 도내 정책지원 유관기관과 손잡고 중소기업과 소상공인의 경영안정과 위기극복을 지원한다.,1
2024,공기업,정부가 부동산 프로젝트파이낸싱PF 사업에 9조원을 추가 지원하기로 했다.,1
2024,공기업,은행과 증권사들이 홍콩H지수 기초 주가연계증권ELS 상품을 팔면서 본점 차원의 판매정책과 소비자보호 관리실태가 전반적으로 부실하고 판매시스템 차원의 불완전판매도 있었던 것으로 드러났다.,0
2023,공기업,우리은행이 경기 위축과 고금리 장기화로 어려움을 겪는 소상공인과 자영업자 금융취약계층을 지원하기 위해 2758억 원 규모의 민생금융지원 방안을 마련했다.,2
2023,공기업,아시아투데이 윤서영 기자  우리은행은 지난 21일 은행연합회가 발표한 은행권 민생금융 지원방안에 동참 총 2758억원 규모의 지원을 신속히 이행하겠다.,2
2023,공기업,우리은행은 글로벌 금융전문지 더 뱅커지가 지난달 30일 영국 런던 쉐라톤 호텔에서 연 2023년 올해의 은행상 시상식에서 대한민국 최우수 은행상을 수상했다.,5
2023,공기업,한국자산관리공사캠코는 24일 금융취약계층 약 6만8000명을 대상으로 보유한 1조7000억원 규모의 채권원금 기준을 소각했다.,3
